,Kingdom,Phylum,Class,Order,Family,Genus,Species
05aa7504ae1491c3c73957616e21d667,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned Burkholderiales,Unassigned Burkholderiales,Unassigned Burkholderiales
064ab01f8f95b13f8527eff4cf1ae3de,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Unassigned Alcaligenaceae,Unassigned Alcaligenaceae
c1685a09a5d89e5a37048ef099a6b966,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned Burkholderiales,Unassigned Burkholderiales,Unassigned Burkholderiales
eb240c8f80389d24643fc21431ef749a,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Unassigned Pandoraea
45841504d8f886073a1a1069d6c3caec,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Salinispora,Unassigned Salinispora
cf55e98c35cbf99a4d3336ac0b58477c,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Unassigned Rhodocyclaceae,Unassigned Rhodocyclaceae
ad76f366fd72a35689ec10d98e59704e,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Unassigned Rhodoferax
6b7958854a29714783a20032dbb992d8,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Unassigned Rhodoferax
f2a77106dbe196f76f2dd7b9df3b1ccf,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Unassigned Rhodoferax
49d647a4f292595f9cb9cd5090f799d8,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
26e1f77032f63fdcdc3f759e50ad08fb,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
df6485f0c59f870ffa34796e56205884,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
b9691357ca3c5af9faf4fe87aa75f036,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
b366bc5380c49360252ea8c606a07b6b,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
e324c1696adaca422ef090955f3b9dd3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
96397584f66cbf5358896202d8e1e2d0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
7b791b448fcdd368c0a15767c85c1b78,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
a7169bcdeb455242621613a0e228009d,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
d9d980e45e7118c91301ed3c168b9af7,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
03fe7410c5db673a859529ab139111c3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
0b263d8b38c732e9e370c7f1d6e48347,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
d04db31eb1abae895d806b53ef3e6d33,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
55dc51d062e8fc16a9863e5831c81e7e,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas,Unassigned Pelomonas
e9e7b45823f5c8552427c596f9bb1067,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
8635f4deabdf5269a43072d7ed4fdf3c,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
2f1e9c7af3e128b459ec91f01135af1f,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
3b44d1945a2407d9ab7532d922449c28,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Unassigned Polaromonas
c1d986e8fbb5cf3dbcac755d09f05c6c,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Unassigned Polaromonas
51f2b0208e1b3b7b40966ea15f026006,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Unassigned Polaromonas
3cd626672a05e3d463fc9e95dbaaf779,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
0acfc8aa39adf718d8317042a741de7e,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
0991b2995509039217b6ed4919b77e9f,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
92280cb27b0a97b2163a1e187b675c0c,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
a5e3cfb18eb2fd335108bf5b8d60b739,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Unassigned Acidovorax
26d17792059c2e1124d1b58a3100fa54,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
903d43fb93b27b317cf82554f7041b89,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
4fd3612881982d2073f0d20f09272c86,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
fc21d35530430951c75ea315c3f563ed,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned Comamonadaceae,Unassigned Comamonadaceae
